id	yt-simple-endpoint href	durations	yt-simple-endpoint	yt-simple-endpoint 2	yt-simple-endpoint href 3	style-scope 5	style-scope 7	style-scope 9
1	https://www.youtube.com/watch?v=i3GIzBzNAAU&list=WL&index=1&pp=gAQBiAQB	11:39	TON 618: The Black Hole That Breaks the Universe | 4K	NullSpace	https://www.youtube.com/@NullSpaceYT	204K views	10 days ago	
2	https://www.youtube.com/watch?v=IaBn3McvJI8&list=WL&index=2&pp=gAQBiAQB	10:27	Your life’s most important moments are flukes, not fate | Brian Klaas	Big Think	https://www.youtube.com/@bigthink	53K views	2 days ago	
3	https://www.youtube.com/watch?v=YnV8pgHtO5Y&list=WL&index=3&pp=gAQBiAQB	44:44	Mark Zuckerberg & Priscilla Chan: How AI Will Cure All Disease	a16z	https://www.youtube.com/@a16z	27K views	2 days ago	
4	https://www.youtube.com/watch?v=yEX1xJcvRqI&list=WL&index=4&pp=gAQBiAQB0gcJCQMKAYcqIYzv	1:13:04	Zohran Mamdani on Freezing Rent, Making NYC Affordable Again, & Who is Really Stopping Him	FLAGRANT	https://www.youtube.com/@OfficialFlagrant	1.4M views	2 weeks ago	WATCHED
5	https://www.youtube.com/watch?v=1YNPcXX6ygA&list=WL&index=5&t=47s&pp=gAQBiAQB	1:43:44	17 Days in Canada's Middle Earth	Maxim Budnick	https://www.youtube.com/@maximbudnick	974K views	2 months ago	WATCHED
6	https://www.youtube.com/watch?v=jgrkV_hJdJw&list=WL&index=6&t=10s&pp=gAQBiAQB	12:02	Micro-interactions to delight your users: what, when and how	The Design Engineer	https://www.youtube.com/@the.design.engineer	11K views	9 months ago	WATCHED
7	https://www.youtube.com/watch?v=tL1JeAnkcUE&list=WL&index=7&pp=gAQBiAQB	42:14	Factory AI: $300M Startup With $0 on Influencer Marketing	Omar Waseem	https://www.youtube.com/@omarwasm	2K views	10 days ago	
8	https://www.youtube.com/watch?v=i43kYARbSGM&list=WL&index=8&pp=gAQBiAQB	52:49	Vercel's CEO Shares 5 AI Startup Ideas So Good You’ll Quit Your Job	Greg Isenberg	https://www.youtube.com/@GregIsenberg	29K views	10 days ago	
9	https://www.youtube.com/watch?v=DULfEcPR0Gc&list=WL&index=9&t=451s&pp=gAQBiAQB	21:44	Good News For Startups: Enterprise Is Bad At AI	Y Combinator	https://www.youtube.com/@ycombinator	82K views	9 days ago	WATCHED
10	https://www.youtube.com/watch?v=6ivM8DwXB7Q&list=WL&index=10&pp=gAQBiAQB0gcJCQMKAYcqIYzv	1:19:12	How I Start $1 Billion Companies from Boring Products	My First Million	https://www.youtube.com/@MyFirstMillionPod	35K views	1 month ago	WATCHED
11	https://www.youtube.com/watch?v=pBASqUbZgkY&list=WL&index=11&pp=gAQBiAQB	9:54	Every Type Of API You Must Know Explained!	Codist	https://www.youtube.com/@CodistCS	360K views	1 month ago	
12	https://www.youtube.com/watch?v=xt6_zIKeX6A&list=WL&index=12&pp=gAQBiAQB	23:15	RIP Deepseek. We have a new #1 open-source AI model	AI Search	https://www.youtube.com/@theAIsearch	120K views	11 days ago	WATCHED
13	https://www.youtube.com/watch?v=KJtZARuO3JY&list=WL&index=13&pp=gAQBiAQB	57:45	Visualizing transformers and attention | Talk for TNG Big Tech Day '24	Grant Sanderson	https://www.youtube.com/@GrantSanderson	895K views	11 months ago	
14	https://www.youtube.com/watch?v=AGesgObgvBs&list=WL&index=14&pp=gAQBiAQB	0:21	“Have you ever purchased anything in a cannabis shop?” Mamdani, Cuomo and Sliwa give their answers	NBC New York	https://www.youtube.com/@NBCNewYork	8.4M views	3 weeks ago	WATCHED
15	https://www.youtube.com/watch?v=cKylMIWfOFE&list=WL&index=15&t=2s&pp=gAQBiAQB0gcJCQMKAYcqIYzv	15:46	How Michelin-Starred Kato Became the #1 Restaurant in LA  — Mise En Place	Eater	https://www.youtube.com/@eater	656K views	4 months ago	WATCHED
16	https://www.youtube.com/watch?v=kZ-zzHVUrO4&list=WL&index=16&t=94s&pp=gAQBiAQB	10:12	How I use Claude Code for real engineering	Matt Pocock	https://www.youtube.com/@mattpocockuk	54K views	12 days ago	WATCHED
17	https://www.youtube.com/watch?v=O4d-bk8Yfak&list=WL&index=17&pp=gAQBiAQB	2:42	Guantanamo Bay evacuated ahead of Hurricane Melissa	LiveNOW from FOX	https://www.youtube.com/@livenowfox	140K views	12 days ago	
18	https://www.youtube.com/watch?v=KBkl3I645c8&list=WL&index=18&pp=gAQBiAQB	1:39:47	Improve Your Lymphatic System for Overall Health & Appearance	Andrew Huberman	https://www.youtube.com/@hubermanlab	232K views	12 days ago	
19	https://www.youtube.com/watch?v=8VLovd9bS5U&list=WL&index=19&pp=gAQBiAQB	23:20	The Age of Laser Warfare Has Begun	Real Engineering	https://www.youtube.com/@RealEngineering	1.4M views	2 weeks ago	WATCHED
20	https://www.youtube.com/watch?v=gLIEpbLWWao&list=WL&index=20&pp=gAQBiAQB	1:37:07	The real reasons young men are checking out of society | Richard Reeves: Full Interview	Big Think	https://www.youtube.com/@bigthink	200K views	2 months ago	
21	https://www.youtube.com/watch?v=4NsAMEKcawA&list=WL&index=21&pp=gAQBiAQB	8:26	The Louvre | The Wildest Robbery of the 21st Century	Zoufry	https://www.youtube.com/@Zoufryymedia	3.1M views	2 weeks ago	WATCHED
